Brand,Model,Features,Price,Customer Feedback,Sales Date,Sales Unit,Revenue
Haier,Model H,Frost-Free,1148.18,4,2021-01-01,2,2296.36
Electrolux,Model F,"Energy Efficient, Water Dispenser",1489.32,5,2021-01-02,4,5957.28
Samsung,Model H,"Water Dispenser, Adjustable Shelves, Smart Cooling, Frost-Free, Energy Efficient, Ice Maker",1502.56,1,2021-01-03,6,9015.36
Frigidaire,Model H,"Adjustable Shelves, Energy Efficient, Water Dispenser, Ice Maker, Smart Cooling, Frost-Free",1224.66,3,2021-01-04,9,11021.94
Whirlpool,Model A,"Adjustable Shelves, Frost-Free",1201.75,4,2021-01-05,4,4807.0
Whirlpool,Model D,"Smart Cooling, Water Dispenser, Adjustable Shelves, Ice Maker, Energy Efficient",588.81,5,2021-01-06,7,4121.67
GE Appliances,Model A,"Ice Maker, Energy Efficient, Adjustable Shelves",1519.72,3,2021-01-07,4,6078.88
GE Appliances,Model C,Frost-Free,1828.15,4,2021-01-08,5,9140.75
GE Appliances,Model G,"Adjustable Shelves, Smart Cooling, Frost-Free, Energy Efficient, Ice Maker, Water Dispenser",1808.32,4,2021-01-09,10,18083.2
Bosch,Model B,"Energy Efficient, Smart Cooling, Ice Maker, Frost-Free, Water Dispenser, Adjustable Shelves",1705.83,3,2021-01-10,9,15352.47
GE Appliances,Model G,"Smart Cooling, Ice Maker, Frost-Free",561.63,1,2021-01-11,7,3931.41
Samsung,Model E,"Ice Maker, Smart Cooling",521.91,1,2021-01-12,6,3131.46
Electrolux,Model F,"Smart Cooling, Ice Maker, Energy Efficient",1408.22,3,2021-01-13,2,2816.44
LG,Model D,"Energy Efficient, Water Dispenser, Smart Cooling, Adjustable Shelves",1558.51,5,2021-01-14,1,1558.51
Electrolux,Model C,"Water Dispenser, Adjustable Shelves, Frost-Free, Energy Efficient, Ice Maker",1806.17,1,2021-01-15,9,16255.53
Electrolux,Model F,"Smart Cooling, Frost-Free, Water Dispenser, Adjustable Shelves",756.99,2,2021-01-16,3,2270.9700000000003
Electrolux,Model E,"Frost-Free, Energy Efficient, Water Dispenser, Smart Cooling, Ice Maker, Adjustable Shelves",1255.43,3,2021-01-17,10,12554.300000000001
LG,Model G,"Ice Maker, Adjustable Shelves, Frost-Free, Energy Efficient, Smart Cooling, Water Dispenser",1485.07,1,2021-01-18,10,14850.699999999999
GE Appliances,Model G,"Energy Efficient, Water Dispenser, Smart Cooling, Ice Maker, Adjustable Shelves, Frost-Free",1795.04,4,2021-01-19,10,17950.4
Whirlpool,Model F,"Ice Maker, Adjustable Shelves",1649.88,2,2021-01-20,7,11549.16
Samsung,Model E,Frost-Free,1193.84,2,2021-01-21,4,4775.36
Electrolux,Model D,"Frost-Free, Water Dispenser, Energy Efficient",1731.97,2,2021-01-22,10,17319.7
Samsung,Model C,"Water Dispenser, Smart Cooling, Frost-Free, Ice Maker, Adjustable Shelves, Energy Efficient",1605.69,4,2021-01-23,3,4817.07
GE Appliances,Model E,"Frost-Free, Water Dispenser, Energy Efficient, Ice Maker, Adjustable Shelves, Smart Cooling",1303.52,1,2021-01-24,10,13035.2
GE Appliances,Model B,Frost-Free,1263.35,1,2021-01-25,4,5053.4
Haier,Model F,"Energy Efficient, Adjustable Shelves, Water Dispenser",1560.09,4,2021-01-26,5,7800.45
Whirlpool,Model E,"Frost-Free, Energy Efficient, Ice Maker, Water Dispenser, Smart Cooling, Adjustable Shelves",765.95,5,2021-01-27,5,3829.75
Haier,Model E,"Adjustable Shelves, Ice Maker, Smart Cooling",1859.98,2,2021-01-28,3,5579.9400000000005
GE Appliances,Model H,"Energy Efficient, Smart Cooling, Adjustable Shelves",1973.94,4,2021-01-29,4,7895.76
Electrolux,Model H,"Frost-Free, Water Dispenser, Ice Maker, Smart Cooling",1261.04,4,2021-01-30,5,6305.2
Electrolux,Model D,"Adjustable Shelves, Ice Maker",1208.64,1,2021-01-31,2,2417.28
Bosch,Model E,"Energy Efficient, Smart Cooling, Adjustable Shelves, Ice Maker, Frost-Free",1233.86,1,2021-02-01,3,3701.58
Bosch,Model E,Adjustable Shelves,1845.25,5,2021-02-02,5,9226.25
Frigidaire,Model G,"Energy Efficient, Adjustable Shelves, Water Dispenser, Ice Maker",1562.6,3,2021-02-03,1,1562.6
Frigidaire,Model H,"Smart Cooling, Energy Efficient, Water Dispenser",1113.66,4,2021-02-04,7,7795.620000000001
Bosch,Model G,"Ice Maker, Adjustable Shelves",1417.63,4,2021-02-05,9,12758.670000000002
Bosch,Model E,"Adjustable Shelves, Frost-Free, Water Dispenser",1070.95,3,2021-02-06,5,5354.75
LG,Model B,Energy Efficient,1551.22,5,2021-02-07,1,1551.22
Bosch,Model F,Water Dispenser,945.42,3,2021-02-08,8,7563.36
Electrolux,Model E,"Frost-Free, Smart Cooling, Water Dispenser, Energy Efficient, Adjustable Shelves, Ice Maker",1486.46,2,2021-02-09,8,11891.68
Electrolux,Model D,Water Dispenser,1845.86,4,2021-02-10,10,18458.6
Whirlpool,Model A,"Energy Efficient, Water Dispenser",1426.27,1,2021-02-11,9,12836.43
Frigidaire,Model E,Adjustable Shelves,670.74,2,2021-02-12,5,3353.7
Frigidaire,Model G,"Adjustable Shelves, Frost-Free, Ice Maker, Smart Cooling, Energy Efficient, Water Dispenser",1170.76,3,2021-02-13,5,5853.8
GE Appliances,Model H,"Frost-Free, Smart Cooling, Water Dispenser",1763.11,5,2021-02-14,9,15867.99
Haier,Model G,"Water Dispenser, Smart Cooling, Frost-Free, Ice Maker, Adjustable Shelves, Energy Efficient",1603.93,3,2021-02-15,3,4811.79
Whirlpool,Model H,"Adjustable Shelves, Smart Cooling, Ice Maker, Energy Efficient, Water Dispenser",1650.73,4,2021-02-16,2,3301.46
Whirlpool,Model F,Adjustable Shelves,1786.58,2,2021-02-17,3,5359.74
Whirlpool,Model G,"Water Dispenser, Ice Maker, Energy Efficient, Smart Cooling",1799.95,1,2021-02-18,9,16199.550000000001
Whirlpool,Model B,"Water Dispenser, Frost-Free, Energy Efficient, Ice Maker, Smart Cooling",1043.57,4,2021-02-19,10,10435.699999999999
Samsung,Model C,"Adjustable Shelves, Ice Maker, Energy Efficient, Smart Cooling",1316.53,2,2021-02-20,9,11848.77
Electrolux,Model C,"Smart Cooling, Ice Maker, Frost-Free, Water Dispenser",884.26,3,2021-02-21,7,6189.82
Haier,Model G,"Ice Maker, Frost-Free, Adjustable Shelves, Water Dispenser, Energy Efficient, Smart Cooling",582.65,2,2021-02-22,6,3495.8999999999996
Bosch,Model C,"Ice Maker, Adjustable Shelves",507.07,5,2021-02-23,10,5070.7
Whirlpool,Model D,"Ice Maker, Adjustable Shelves",1573.08,1,2021-02-24,7,11011.56
Samsung,Model A,"Adjustable Shelves, Frost-Free, Energy Efficient, Ice Maker, Smart Cooling, Water Dispenser",1380.3,1,2021-02-25,3,4140.9
GE Appliances,Model D,"Adjustable Shelves, Ice Maker, Frost-Free",1578.15,4,2021-02-26,5,7890.75
Bosch,Model B,"Water Dispenser, Ice Maker",1799.78,1,2021-02-27,6,10798.68
Bosch,Model B,"Ice Maker, Smart Cooling, Frost-Free, Water Dispenser",1898.8,2,2021-02-28,6,11392.8
LG,Model H,Ice Maker,1221.84,1,2021-03-01,6,7331.039999999999
GE Appliances,Model A,"Frost-Free, Water Dispenser, Energy Efficient, Ice Maker",803.75,3,2021-03-02,6,4822.5
Frigidaire,Model H,"Water Dispenser, Adjustable Shelves, Smart Cooling",898.93,3,2021-03-03,5,4494.65
Samsung,Model A,"Adjustable Shelves, Smart Cooling, Ice Maker, Water Dispenser, Energy Efficient, Frost-Free",1401.91,4,2021-03-04,8,11215.28
GE Appliances,Model B,"Smart Cooling, Frost-Free, Adjustable Shelves",1652.04,1,2021-03-05,1,1652.04
Whirlpool,Model C,"Smart Cooling, Water Dispenser",839.52,5,2021-03-06,1,839.52
Frigidaire,Model D,"Water Dispenser, Adjustable Shelves, Frost-Free",1669.49,2,2021-03-07,4,6677.96
Whirlpool,Model H,"Energy Efficient, Water Dispenser, Smart Cooling, Adjustable Shelves",1180.15,2,2021-03-08,4,4720.6
Frigidaire,Model A,"Smart Cooling, Water Dispenser",1833.83,4,2021-03-09,10,18338.3
GE Appliances,Model H,"Energy Efficient, Adjustable Shelves, Water Dispenser, Smart Cooling, Frost-Free",1423.72,3,2021-03-10,6,8542.32
Samsung,Model C,"Ice Maker, Water Dispenser, Energy Efficient",1729.27,4,2021-03-11,6,10375.619999999999
Samsung,Model C,Frost-Free,803.29,5,2021-03-12,3,2409.87
Haier,Model C,"Smart Cooling, Energy Efficient",1769.85,2,2021-03-13,8,14158.8
Electrolux,Model E,"Frost-Free, Smart Cooling",875.5,5,2021-03-14,9,7879.5
Bosch,Model A,Water Dispenser,917.45,2,2021-03-15,6,5504.700000000001
Whirlpool,Model B,"Ice Maker, Smart Cooling, Frost-Free",1455.55,3,2021-03-16,3,4366.65
Samsung,Model E,"Adjustable Shelves, Water Dispenser",794.09,3,2021-03-17,5,3970.4500000000003
LG,Model G,Ice Maker,1317.77,1,2021-03-18,1,1317.77
GE Appliances,Model E,Smart Cooling,966.15,1,2021-03-19,7,6763.05
Haier,Model B,"Adjustable Shelves, Frost-Free, Smart Cooling",1666.23,3,2021-03-20,4,6664.92
LG,Model H,"Adjustable Shelves, Frost-Free, Water Dispenser, Energy Efficient",1232.38,3,2021-03-21,2,2464.76
Bosch,Model D,"Frost-Free, Ice Maker, Water Dispenser, Energy Efficient, Adjustable Shelves",1293.37,5,2021-03-22,4,5173.48
GE Appliances,Model C,"Frost-Free, Adjustable Shelves, Water Dispenser, Energy Efficient, Ice Maker",1134.73,1,2021-03-23,8,9077.84
Bosch,Model B,"Adjustable Shelves, Energy Efficient",589.71,2,2021-03-24,4,2358.84
Electrolux,Model H,"Ice Maker, Water Dispenser, Energy Efficient, Frost-Free, Adjustable Shelves",1159.03,4,2021-03-25,1,1159.03
Whirlpool,Model B,"Frost-Free, Water Dispenser, Smart Cooling, Energy Efficient, Ice Maker",1073.88,1,2021-03-26,1,1073.88
Haier,Model E,"Adjustable Shelves, Energy Efficient",1478.29,4,2021-03-27,4,5913.16
Frigidaire,Model D,"Frost-Free, Ice Maker, Smart Cooling, Energy Efficient, Water Dispenser, Adjustable Shelves",1104.88,3,2021-03-28,10,11048.800000000001
Whirlpool,Model A,"Adjustable Shelves, Frost-Free, Water Dispenser, Smart Cooling, Energy Efficient",1287.14,2,2021-03-29,10,12871.400000000001
LG,Model G,"Frost-Free, Adjustable Shelves, Energy Efficient, Water Dispenser",1095.48,1,2021-03-30,2,2190.96
Electrolux,Model B,"Energy Efficient, Ice Maker, Smart Cooling",1909.57,5,2021-03-31,7,13366.99
LG,Model G,Adjustable Shelves,534.03,4,2021-04-01,8,4272.24
Whirlpool,Model E,"Energy Efficient, Water Dispenser, Smart Cooling, Ice Maker, Frost-Free",1725.61,4,2021-04-02,10,17256.1
Samsung,Model C,Smart Cooling,1608.62,5,2021-04-03,6,9651.72
Haier,Model E,"Ice Maker, Smart Cooling",1395.34,4,2021-04-04,8,11162.72
Whirlpool,Model B,"Adjustable Shelves, Smart Cooling, Frost-Free, Ice Maker, Energy Efficient",1807.46,2,2021-04-05,9,16267.14
GE Appliances,Model C,"Frost-Free, Energy Efficient",501.66,4,2021-04-06,8,4013.28
Frigidaire,Model D,"Ice Maker, Frost-Free, Smart Cooling, Adjustable Shelves",812.71,2,2021-04-07,7,5688.97
Whirlpool,Model D,"Water Dispenser, Frost-Free, Smart Cooling",1425.05,1,2021-04-08,8,11400.4
Whirlpool,Model H,"Smart Cooling, Frost-Free, Ice Maker, Energy Efficient, Adjustable Shelves",896.65,3,2021-04-09,10,8966.5
Frigidaire,Model E,"Smart Cooling, Water Dispenser, Ice Maker, Frost-Free, Energy Efficient, Adjustable Shelves",617.6,2,2021-04-10,7,4323.2
Haier,Model A,"Water Dispenser, Smart Cooling, Energy Efficient",1701.39,3,2021-04-11,4,6805.56
GE Appliances,Model A,"Adjustable Shelves, Ice Maker",1962.5,1,2021-04-12,4,7850.0
Samsung,Model E,"Ice Maker, Water Dispenser, Energy Efficient",1938.6,4,2021-04-13,10,19386.0
Whirlpool,Model G,Frost-Free,1538.26,3,2021-04-14,3,4614.78
Bosch,Model D,"Smart Cooling, Adjustable Shelves, Water Dispenser, Ice Maker, Frost-Free",1413.97,1,2021-04-15,3,4241.91
Electrolux,Model G,"Smart Cooling, Adjustable Shelves, Energy Efficient, Water Dispenser, Ice Maker, Frost-Free",902.03,5,2021-04-16,5,4510.15
Samsung,Model G,"Water Dispenser, Frost-Free, Ice Maker, Adjustable Shelves, Smart Cooling, Energy Efficient",964.69,4,2021-04-17,9,8682.210000000001
LG,Model A,"Frost-Free, Energy Efficient, Ice Maker, Smart Cooling, Adjustable Shelves, Water Dispenser",1908.8,4,2021-04-18,1,1908.8
Samsung,Model E,"Frost-Free, Adjustable Shelves, Ice Maker, Water Dispenser",621.67,2,2021-04-19,6,3730.0199999999995
LG,Model B,"Energy Efficient, Adjustable Shelves, Water Dispenser, Ice Maker, Frost-Free, Smart Cooling",1188.1,4,2021-04-20,1,1188.1
Bosch,Model A,Energy Efficient,1233.04,2,2021-04-21,4,4932.16
LG,Model C,"Frost-Free, Adjustable Shelves, Smart Cooling, Energy Efficient, Water Dispenser, Ice Maker",1918.66,2,2021-04-22,10,19186.600000000002
Samsung,Model C,"Smart Cooling, Ice Maker, Water Dispenser, Frost-Free, Energy Efficient",770.75,1,2021-04-23,3,2312.25
Samsung,Model C,Smart Cooling,547.54,3,2021-04-24,5,2737.7
Frigidaire,Model H,"Water Dispenser, Frost-Free, Smart Cooling, Energy Efficient",1397.75,2,2021-04-25,7,9784.25
Haier,Model C,"Smart Cooling, Frost-Free",985.47,3,2021-04-26,2,1970.94
Electrolux,Model C,"Water Dispenser, Smart Cooling",1229.97,2,2021-04-27,1,1229.97
Frigidaire,Model D,"Energy Efficient, Ice Maker",1731.37,4,2021-04-28,7,12119.59
GE Appliances,Model E,Water Dispenser,1073.49,1,2021-04-29,9,9661.41
Bosch,Model G,"Water Dispenser, Smart Cooling, Frost-Free, Adjustable Shelves, Ice Maker",632.96,5,2021-04-30,2,1265.92
Whirlpool,Model G,"Water Dispenser, Energy Efficient, Frost-Free",1053.52,1,2021-05-01,1,1053.52
Haier,Model C,"Water Dispenser, Energy Efficient, Smart Cooling, Frost-Free",1781.94,1,2021-05-02,7,12473.58
Electrolux,Model D,Adjustable Shelves,1723.2,4,2021-05-03,2,3446.4
Frigidaire,Model B,"Energy Efficient, Frost-Free",1471.63,2,2021-05-04,8,11773.04
Bosch,Model E,"Energy Efficient, Water Dispenser, Frost-Free",564.86,3,2021-05-05,10,5648.6
Electrolux,Model D,"Water Dispenser, Frost-Free, Energy Efficient, Ice Maker",1200.45,4,2021-05-06,8,9603.6
Bosch,Model C,"Adjustable Shelves, Energy Efficient, Frost-Free",1421.64,2,2021-05-07,2,2843.28
Electrolux,Model G,Adjustable Shelves,787.43,1,2021-05-08,9,7086.87
GE Appliances,Model C,"Adjustable Shelves, Energy Efficient",1002.33,3,2021-05-09,6,6013.9800000000005
Electrolux,Model G,"Frost-Free, Energy Efficient, Ice Maker, Water Dispenser",760.99,3,2021-05-10,1,760.99
GE Appliances,Model C,"Adjustable Shelves, Smart Cooling, Frost-Free, Water Dispenser, Ice Maker, Energy Efficient",1949.46,1,2021-05-11,7,13646.220000000001
Haier,Model B,"Frost-Free, Adjustable Shelves, Ice Maker, Smart Cooling, Energy Efficient",1841.02,4,2021-05-12,10,18410.2
LG,Model B,"Adjustable Shelves, Ice Maker, Smart Cooling, Water Dispenser",1411.54,3,2021-05-13,4,5646.16
Electrolux,Model B,Adjustable Shelves,1990.56,2,2021-05-14,9,17915.04
Bosch,Model E,Frost-Free,971.14,5,2021-05-15,1,971.14
Samsung,Model D,"Frost-Free, Adjustable Shelves, Smart Cooling, Energy Efficient, Ice Maker, Water Dispenser",1106.61,5,2021-05-16,9,9959.49
Frigidaire,Model D,"Smart Cooling, Frost-Free, Ice Maker, Water Dispenser, Adjustable Shelves",767.52,3,2021-05-17,3,2302.56
GE Appliances,Model F,"Smart Cooling, Adjustable Shelves",1782.27,4,2021-05-18,7,12475.89
Bosch,Model D,Water Dispenser,1231.83,4,2021-05-19,9,11086.47
GE Appliances,Model A,"Energy Efficient, Smart Cooling, Frost-Free",1145.58,1,2021-05-20,3,3436.74
Frigidaire,Model H,Smart Cooling,596.54,4,2021-05-21,3,1789.62
Samsung,Model D,Energy Efficient,1158.3,3,2021-05-22,4,4633.2
Electrolux,Model G,"Frost-Free, Adjustable Shelves, Energy Efficient, Smart Cooling, Ice Maker, Water Dispenser",1899.19,1,2021-05-23,4,7596.76
Samsung,Model H,"Energy Efficient, Water Dispenser, Ice Maker, Smart Cooling, Frost-Free",1234.15,4,2021-05-24,2,2468.3
GE Appliances,Model D,"Ice Maker, Water Dispenser",1036.67,2,2021-05-25,7,7256.6900000000005
Haier,Model E,Smart Cooling,1089.99,1,2021-05-26,4,4359.96
Electrolux,Model A,"Smart Cooling, Frost-Free, Energy Efficient, Adjustable Shelves",1464.69,4,2021-05-27,2,2929.38
Electrolux,Model B,"Smart Cooling, Ice Maker, Frost-Free, Adjustable Shelves, Energy Efficient",1654.98,2,2021-05-28,9,14894.82
Haier,Model H,"Water Dispenser, Ice Maker, Adjustable Shelves, Energy Efficient, Smart Cooling",785.66,4,2021-05-29,3,2356.98
Electrolux,Model H,"Water Dispenser, Adjustable Shelves, Ice Maker, Energy Efficient, Frost-Free",537.0,3,2021-05-30,1,537.0
Whirlpool,Model E,Frost-Free,1143.32,4,2021-05-31,5,5716.599999999999
LG,Model B,"Frost-Free, Water Dispenser, Ice Maker, Adjustable Shelves",1973.13,1,2021-06-01,3,5919.39
Haier,Model A,Energy Efficient,1284.37,4,2021-06-02,6,7706.219999999999
LG,Model H,"Frost-Free, Ice Maker, Water Dispenser, Adjustable Shelves",1302.11,5,2021-06-03,1,1302.11
LG,Model H,"Ice Maker, Adjustable Shelves, Energy Efficient",1284.92,1,2021-06-04,4,5139.68
Bosch,Model F,"Smart Cooling, Frost-Free, Energy Efficient, Adjustable Shelves",1848.62,5,2021-06-05,1,1848.62
Bosch,Model H,"Frost-Free, Ice Maker, Energy Efficient, Water Dispenser, Adjustable Shelves",1881.33,1,2021-06-06,10,18813.3
Electrolux,Model G,"Water Dispenser, Frost-Free",1032.67,1,2021-06-07,10,10326.7
Haier,Model F,"Adjustable Shelves, Ice Maker, Energy Efficient, Frost-Free, Smart Cooling",989.44,3,2021-06-08,6,5936.64
Electrolux,Model H,Smart Cooling,1541.47,4,2021-06-09,7,10790.29
Frigidaire,Model B,"Energy Efficient, Smart Cooling, Frost-Free, Water Dispenser",1365.71,5,2021-06-10,1,1365.71
Bosch,Model D,"Frost-Free, Water Dispenser",705.02,2,2021-06-11,3,2115.06
Bosch,Model F,"Ice Maker, Smart Cooling, Frost-Free",1289.34,2,2021-06-12,2,2578.68
Bosch,Model B,Frost-Free,1293.95,3,2021-06-13,9,11645.550000000001
Frigidaire,Model E,Adjustable Shelves,662.04,5,2021-06-14,4,2648.16
Samsung,Model B,Water Dispenser,1719.94,5,2021-06-15,2,3439.88
Electrolux,Model A,"Adjustable Shelves, Smart Cooling, Frost-Free, Water Dispenser, Ice Maker",1363.31,1,2021-06-16,8,10906.48
GE Appliances,Model F,"Frost-Free, Adjustable Shelves",1553.89,3,2021-06-17,5,7769.450000000001
